,district,January,February,March,April,May,June,July,August,September,October,November,December,Year,mean
0,Adilabad,792136.0,937820.0,582946.0,341948.0,252887.0,368237.0,447562.0,614285.0,491279.0,94184,99148,53125,2016,422963.0833333333
1,Bhadradri Kothagudem ,,,,,,,,,,310133,252127,326770,2016,296343.3333333333
2,Hyderabad,1122510.0,778748.0,1017794.0,1127738.0,1287181.0,12032661.0,1096754.0,1061137.0,832987.0,901960,909733,1225502,2016,1949558.75
3,Jagtial ,,,,,,,,,,201249,214534,207294,2016,207692.3333333333
4,Jangaon ,,,,,,,,,,14770,13210,12680,2016,13553.333333333334
5,Jayashankar Bhoopalpally,,,,,,,,,,76360,81580,85460,2016,81133.33333333333
6,Jogulamba Gadwal ,,,,,,,,,,152898,188170,182333,2016,174467.0
7,Kamareddy ,,,,,,,,,,47,38,42,2016,42.333333333333336
8,Karimnagar ,1984442.0,779960.0,1018399.0,956959.0,1095642.0,914746.0,401047.0,1018399.0,956959.0,13675,13350,13890,2016,763955.6666666666
9,Khammam,651827.0,407533.0,458527.0,971622.0,433994.0,445862.0,414963.0,503654.0,368437.0,121575,110634,116403,2016,417085.9166666667
10,Komaram Bheem Asifabad,,,,,,,,,,0,0,0,2016,0.0
11,Mahabubabad ,,,,,,,,,,13032,114015,12955,2016,46667.333333333336
12,Mahbubnagar,577071.0,1312068.0,1731983.0,622432.0,571898.0,561006.0,562322.0,1133105.0,567712.0,198592,256375,210202,2016,692063.8333333334
13,Mancherial,,,,,,,,,,3124,2255,2423,2016,2600.6666666666665
14,Medak ,92600.0,215000.0,1318000.0,300000.0,198000.0,166700.0,153300.0,216100.0,132600.0,15600,132300,523000,2016,288600.0
15,Nagarkurnool ,,,,,,,,,,201050,188786,198637,2016,196157.66666666663
16,Nalgonda,566515.0,539467.0,619462.0,601253.0,628872.0,551239.0,582820.0,988102.0,742402.0,3508,21046,13775,2016,488205.0833333333
17,Nirmal,,,,,,,,,,475955,201388,239267,2016,305536.6666666667
18,Nizamabad,576.0,869.0,408.0,476.0,554.0,367.0,644.0,589.0,553.0,434,617,355,2016,536.8333333333334
19,Peddapalli,,,,,,,,,,950,1145,1149,2016,1081.3333333333333
20,Rajanna Sircilla ,,,,,,,,,,534484,864077,778240,2016,725600.3333333334
21,Sangareddy ,,,,,,,,,,274000,349000,155000,2016,259333.3333333333
22,Siddipet,,,,,,,,,,123500,154400,80500,2016,119466.66666666669
23,Wanaparthy ,,,,,,,,,,21234,18348,20556,2016,20046.0
24,Warangal (Rural),,,,,,,,,,8200,6050,5150,2016,6466.666666666667
25,Warangal (Urban),1985815.0,20703778.0,568397.0,317643.0,373788.0,365332.0,340320.0,368755.0,379210.0,128247,129250,127500,2016,2149002.9166666665
26,Yadadri Bhongir,,,,,,,,,,584800,681000,462800,2016,576200.0
27,Adilabad,318799.0,83316.0,27508.0,13946.0,11752.0,26859.0,52386.0,34876.0,42699.0,41666,117322,54251,2017,68781.66666666667
28,Bhadradri Kothagudem ,302315.0,251359.0,243943.0,667459.0,311626.0,351742.0,258114.0,316438.0,381784.0,334504,281515,393518,2017,341193.0833333333
29,Hyderabad,1924695.0,1886698.0,1783903.0,2366793.0,2266793.0,2007060.0,1890870.0,1976980.0,2011280.0,2202316,1971438,4871416,2017,2263353.5
30,Jagtial ,174477.0,159659.0,323658.0,330540.0,468038.0,418103.0,247254.0,386458.0,143102.0,248504,348042,393566,2017,303450.0833333333
31,Jangaon ,12280.0,12610.0,8450.0,9788.0,12130.0,13750.0,16050.0,15680.0,15600.0,16130,16360,16880,2017,13809.0
32,Jayashankar Bhoopalpally,96560.0,96850.0,81400.0,90700.0,91150.0,93650.0,94700.0,118350.0,112600.0,115250,116800,723000,2017,152584.16666666666
33,Jogulamba Gadwal ,214887.0,481110.0,155013.0,131426.0,131426.0,160182.0,160182.0,131485.0,123733.0,152898,188170,214887,2017,187116.5833333333
34,Kamareddy ,58.0,50.0,41.0,46.0,60.0,41.0,41.0,40.0,41.0,38,43,41,2017,45.0
35,Karimnagar ,14425.0,10845.0,9625.0,8630.0,8890.0,10542.0,12350.0,10952.0,7576.0,8371,8705,13065,2017,10331.333333333334
36,Khammam,132528.0,115470.0,101878.0,135920.0,138799.0,138158.0,105102.0,129159.0,140821.0,155943,110800,137825,2017,128533.58333333331
37,Komaram Bheem Asifabad,2241.0,2490.0,2767.0,3074.0,3416.0,3796.0,3713.0,3665.0,3934.0,14050,3627,4218,2017,4249.25
38,Mahabubabad ,13260.0,13045.0,9100.0,9140.0,10220.0,10130.0,10170.0,12520.0,13140.0,13750,13560,13780,2017,11817.916666666666
39,Mahbubnagar,446135.0,805392.0,178256.0,208694.0,214209.0,179210.0,179099.0,215229.0,180675.0,196103,259060,426167,2017,290685.75
40,Mancherial,2937.0,3130.0,2775.0,1513.0,1424.0,2119.0,33591.0,26104.0,24297.0,37671,25737,30328,2017,15968.833333333334
41,Medak ,523000.0,543321.0,548535.0,554864.0,556891.0,561469.0,575300.0,632830.0,696113.0,765724,842296,926526,2017,643905.75
42,Nagarkurnool ,382879.0,286258.0,184508.0,183697.0,183697.0,180010.0,180010.0,181861.0,118010.0,201050,188786,382879,2017,221137.0833333333
43,Nalgonda,4447.0,8652.0,8054.0,44295.0,10750.0,37879.0,21361.0,9363.0,17465.0,36066,17687,25897,2017,20159.666666666668
44,Nirmal,340311.0,415326.0,442057.0,274132.0,297233.0,340359.0,328101.0,340430.0,528540.0,388644,369365,340585,2017,367090.25
45,Nizamabad,613.0,1752.0,660.0,1048.0,1341.0,2391.0,1520.0,1583.0,933.0,6644,1677,1787,2017,1829.0833333333333
46,Peddapalli,1345.0,1378.0,965.0,750.0,640.0,885.0,1095.0,1385.0,1155.0,1595,1940,1765,2017,1241.5
47,Rajanna Sircilla ,615842.0,1255569.0,1030441.0,1146782.0,1117228.0,1113882.0,462022.0,1004410.0,487060.0,845620,1191129,1649362,2017,993278.9166666666
48,Sangareddy ,195000.0,140000.0,275000.0,215000.0,215000.0,180000.0,195000.0,295000.0,200000.0,232000,324500,356950,2017,235287.5
49,Siddipet,80500.0,80500.0,80500.0,80500.0,80500.0,60000.0,88550.0,97405.0,107146.0,117861,129647,142612,2017,95476.75
50,Wanaparthy ,22152.0,22342.0,20050.0,11502.0,11502.0,19092.0,19092.0,21375.0,35860.0,21234,18348,22152,2017,20391.75
51,Warangal (Rural),8000.0,8300.0,7800.0,7600.0,8500.0,9000.0,13600.0,13650.0,13800.0,16500,16300,21200,2017,12020.833333333334
52,Warangal (Urban),130608.0,126608.0,118298.0,107133.0,109915.0,111530.0,116545.0,116810.0,117150.0,119255,119360,126790,2017,118333.5
53,Yadadri Bhongir,678000.0,540500.0,525588.0,570000.0,458700.0,685880.0,481240.0,680720.0,678925.0,683500,537600,481075,2017,583477.3333333334
54,Adilabad,320356.0,36550.0,23011.0,14183.0,8197.0,12052.0,24666.0,38939.0,25875.0,30257,49181,61476,2018,53728.583333333336
55,Bhadradri Kothagudem ,421275.0,240634.0,421275.0,341258.0,291273.0,290512.0,220304.0,219548.0,334878.0,322974,253464,442483,2018,316656.5
56,Hyderabad,1978396.0,1365837.0,1415938.0,1586375.0,1189492.0,1595067.0,1470042.0,1591470.0,1508086.0,2207478,1671320,1964150,2018,1628637.5833333333
57,Jagtial ,614082.0,349576.0,416716.0,372874.0,641363.0,182505.0,182473.0,272685.0,273121.0,138206,277997,231323,2018,329410.0833333333
58,Jangaon ,17180.0,18600.0,17300.0,18100.0,19660.0,23050.0,26280.0,26020.0,28830.0,29470,29570,36962,2018,24251.83333333333
59,Jayashankar Bhoopalpally,6519850.0,8626250.0,146150.0,149150.0,152050.0,159400.0,128550.0,184700.0,192300.0,195400,196500,245625,2018,1407993.75
60,Jogulamba Gadwal ,146441.0,481110.0,155013.0,138673.0,131426.0,160182.0,114951.0,123733.0,121710.0,152898,128075,182333,2018,169712.08333333334
61,Kamareddy ,44.0,44.0,45.0,45.0,49.0,56.0,48.0,55.0,40.0,62,41,43,2018,47.66666666666666
62,Karimnagar ,13505.0,9330.0,7205.0,5830.0,5689.0,7180.0,6686.0,8480.0,8480.0,6118,7145,7800,2018,7787.333333333333
63,Khammam,110094.0,104444.0,127152.0,126553.0,135189.0,135988.0,85932.0,86309.0,143465.0,127645,99070,135600,2018,118120.08333333331
64,Komaram Bheem Asifabad,2863.0,2736.0,1826.0,868.0,793.0,990.0,1954.0,2263.0,1819.0,2525,1741,2176,2018,1879.5
65,Mahabubabad ,14000.0,14230.0,13110.0,12915.0,12865.0,13910.0,13970.0,13200.0,13420.0,13550,13700,17125,2018,13832.916666666666
66,Mahbubnagar,156153.0,788083.0,166863.0,196061.0,193478.0,165553.0,161841.0,169154.0,167833.0,193152,295910,198227,2018,237692.3333333333
67,Mancherial,71955.0,38599.0,20749.0,38483.0,26179.0,31667.0,27937.0,31861.0,23141.0,30740,25197,31496,2018,33167.0
68,Medak ,100000.0,1000000.0,600000.0,200000.0,300000.0,500000.0,150000.0,50000.0,100000.0,300000,200000,400000,2018,325000.0
69,Nagarkurnool ,228812.0,286258.0,184508.0,174592.0,183697.0,180010.0,93450.0,118010.0,118449.0,201050,121452,198637,2018,174077.08333333334
70,Nalgonda,36205.0,9971.0,9677.0,9779.0,10241.0,9066.0,9668.0,10135.0,21365.0,22332,5422,6777,2018,13386.5
71,Nirmal,480241.0,335447.0,328099.0,368645.0,342650.0,355197.0,335356.0,313910.0,293859.0,373291,289169,361461,2018,348110.4166666667
72,Nizamabad,2495.0,7152.0,2903.0,3550.0,5360.0,1761.0,5882.0,10525.0,475.0,490,475,355,2018,3451.9166666666665
73,Peddapalli,2670.0,2695.0,2325.0,1940.0,1499.0,1580.0,1580.0,1595.0,1475.0,1545,1655,1695,2018,1854.5
74,Rajanna Sircilla ,2238074.0,1021787.0,1022669.0,833874.0,1021952.0,320886.0,937720.0,320952.0,818693.0,506563,840933,950128,2018,902852.5833333334
75,Sangareddy ,254000.0,540000.0,158500.0,162500.0,157000.0,93500.0,108600.0,205000.0,125000.0,171800,160000,134000,2018,189158.3333333333
76,Siddipet,253000.0,44000.0,164800.0,115000.0,165200.0,104300.0,54000.0,100000.0,55000.0,43000,135000,50000,2018,106941.66666666669
77,Wanaparthy ,28131.0,22341.0,20050.0,10550.0,11502.0,19092.0,32625.0,35860.0,32002.0,21234,32657,20556,2018,23883.33333333333
78,Warangal (Rural),25200.0,26300.0,26200.0,21600.0,22100.0,23100.0,25900.0,25700.0,25800.0,26000,24050,30062,2018,25167.666666666668
79,Warangal (Urban),137530.0,145750.0,140300.0,142510.0,143425.0,135615.0,136560.0,136760.0,138780.0,140948,144515,180643,2018,143611.33333333334
80,Yadadri Bhongir,2016000.0,3073872.0,2836580.0,692370.0,781842.0,577570.0,671156.0,526445.0,819350.0,586475,485208,606510,2018,1139448.1666666667
81,Adilabad,25071.0,406177.0,14347.0,9972.0,6997.0,9161.0,11791.0,108173.0,37589.0,38184,70344,38089,2019,64657.91666666666
82,Bhadradri Kothagudem ,283365.0,229159.0,225448.0,349585.0,275800.0,9761776.0,233338.0,271941.0,314199.0,287432,298366,287328,2019,1068144.75
83,Hyderabad,1426500.0,983147.0,1009991.0,1045933.0,1305748.0,1262995.0,1094861.0,1121380.0,959930.0,1240643,1073665,1277569,2019,1150196.8333333333
84,Jagtial ,211913.0,215105.0,194090.0,447226.0,500206.0,235363.0,157419.0,151570.0,157564.0,165070,277630,372959,2019,257176.25
85,Jangaon ,28750.0,28810.0,27300.0,26160.0,26740.0,25820.0,24160.0,27800.0,28640.0,27840,28410,28460,2019,27407.5
86,Jayashankar Bhoopalpally,197430.0,33500.0,37500.0,38500.0,30800.0,40500.0,45500.0,45000.0,50500.0,46000,51500,45800,2019,55210.833333333336
87,Jogulamba Gadwal ,146441.0,481110.0,155013.0,82334.0,154609.0,155013.0,114951.0,123733.0,131485.0,152898,128075,182333,2019,167332.91666666666
88,Kamareddy ,42.0,41.0,45.0,41.0,46.0,41.0,50.0,50.0,41.0,46,46,45,2019,44.5
89,Karimnagar ,10285.0,6480.0,6634.0,5623.0,3393.0,3871.0,5192.0,5480.0,8735.0,6799,7101,7898,2019,6457.583333333333
90,Khammam,123550.0,98471.0,91340.0,135920.0,130971.0,127270.0,103260.0,111374.0,133754.0,128625,104380,124525,2019,117786.66666666669
91,Komaram Bheem Asifabad,2476.0,1449.0,1212.0,663.0,493.0,506.0,1287.0,2572.0,1629.0,1943,2176,2783,2019,1599.0833333333333
92,Mahabubabad ,13480.0,13545.0,13490.0,12980.0,11970.0,11460.0,13470.0,12190.0,13210.0,12260,12470,12360,2019,12740.416666666666
93,Mahbubnagar,168082.0,798949.0,173658.0,183268.0,175202.0,175853.0,100398.0,104787.0,141387.0,130227,234066,148938,2019,211234.5833333333
94,Mancherial,18420.0,26325.0,16253.0,23026.0,26616.0,24593.0,22303.0,21191.0,24079.0,20867,29302,16835,2019,22484.166666666668
95,Medak ,400000.0,600000.0,1000000.0,650000.0,400000.0,300000.0,350000.0,349900.0,350400.0,350000,351560,350710,2019,454380.8333333333
96,Mulugu,0.0,159640.0,156610.0,152570.0,154550.0,163480.0,167700.0,171050.0,172900.0,172500,173700,175100,2019,151650.0
97,Nagarkurnool ,228812.0,286258.0,184508.0,121460.0,184372.0,184508.0,93450.0,118010.0,175712.0,196160,121425,198637,2019,174442.66666666666
98,Nalgonda,21284.0,13697.0,8467.0,7202.0,26338.0,5558.0,19783.0,7473.0,5230.0,5290,7177,13419,2019,11743.166666666666
99,Narayanapet,,,,,,,68842.0,72249.0,62841.0,58213,62750,64355,2019,64875.0
100,Nirmal,313675.0,443898.0,424964.0,327971.0,149705.0,349747.0,359495.0,334646.0,299827.0,263412,253388,296050,2019,318064.8333333333
101,Nizamabad,878.0,915.0,938.0,958.0,1193.0,686.0,990.0,1004.0,6572.0,8849,11950,11400,2019,3861.0833333333335
102,Peddapalli,1055.0,1157.0,895.0,942.0,802.0,735.0,1085.0,1505.0,1785.0,2080,2225,2315,2019,1381.75
103,Rajanna Sircilla ,6188298.0,1015550.0,1444971.0,1148062.0,1018131.0,1128849.0,422961.0,586118.0,501293.0,646492,1259371,1472801,2019,1402741.4166666667
104,Sangareddy ,144000.0,148000.0,747000.0,205000.0,133000.0,347000.0,467000.0,466150.0,468350.0,467470,481720,478470,2019,379430.0
105,Siddipet,140793.0,199549.0,204600.0,184412.0,110500.0,1037000.0,179320.0,190750.0,122550.0,191330,209130,217930,2019,248988.66666666663
106,Wanaparthy ,28131.0,22342.0,20050.0,23749.0,20010.0,20050.0,32625.0,35860.0,21375.0,21234,32657,20556,2019,24886.58333333333
107,Warangal (Rural),28700.0,28800.0,29000.0,26900.0,24900.0,27100.0,28600.0,31600.0,32600.0,31100,32150,32050,2019,29458.33333333333
108,Warangal (Urban),151545.0,157755.0,154305.0,150425.0,143230.0,144400.0,145440.0,148030.0,151070.0,147450,153880,147700,2019,149602.5
109,Yadadri Bhongir,479293.0,56525.0,481923.0,441150.0,345790.0,370566.0,332770.0,389010.0,366862.0,381860,365990,477635,2019,374114.5
